,File,ID,File_Timestamp,File_Date,File_Time,S3_Timestamp,S3_Date,S3_Time,Time_Bin
50,Analysis/Voice/2025/04/07/cb2fc9fb-ff2e-4546-b2b7-aaba1faee30e_analysis_2025-04-07T21:35:04Z.json,cb2fc9fb-ff2e-4546-b2b7-aaba1faee30e,2025-04-07 21:35:04,2025-04-07,21:35:04,2025-04-07 21:39:25+00:00,2025-04-07,21:39:25,2025-04-07 20:00:00
49,Analysis/Voice/2025/04/07/ab4f875a-8cf7-4a34-bbcd-1f798b0165b9_analysis_2025-04-07T21:34:34Z.json,ab4f875a-8cf7-4a34-bbcd-1f798b0165b9,2025-04-07 21:34:34,2025-04-07,21:34:34,2025-04-07 21:41:05+00:00,2025-04-07,21:41:05,2025-04-07 20:00:00
48,Analysis/Voice/2025/04/07/7bddc541-1802-4022-97ef-341b42776af9_analysis_2025-04-07T21:34:32Z.json,7bddc541-1802-4022-97ef-341b42776af9,2025-04-07 21:34:32,2025-04-07,21:34:32,2025-04-07 21:41:19+00:00,2025-04-07,21:41:19,2025-04-07 20:00:00
23,Analysis/Voice/2025/04/07/020473c1-6958-4b53-a68a-1934c29c2bde_analysis_2025-04-07T21:33:13Z.json,020473c1-6958-4b53-a68a-1934c29c2bde,2025-04-07 21:33:13,2025-04-07,21:33:13,2025-04-07 21:39:21+00:00,2025-04-07,21:39:21,2025-04-07 20:00:00
21,Analysis/Voice/2025/04/07/f02ff543-4dbe-47f5-b3ba-f810f9aa4d56_analysis_2025-04-07T21:32:50Z.json,f02ff543-4dbe-47f5-b3ba-f810f9aa4d56,2025-04-07 21:32:50,2025-04-07,21:32:50,2025-04-07 21:38:50+00:00,2025-04-07,21:38:50,2025-04-07 20:00:00
20,Analysis/Voice/2025/04/07/33e94dde-a137-4d00-981a-a9228405f34f_analysis_2025-04-07T21:32:33Z.json,33e94dde-a137-4d00-981a-a9228405f34f,2025-04-07 21:32:33,2025-04-07,21:32:33,2025-04-07 21:38:42+00:00,2025-04-07,21:38:42,2025-04-07 20:00:00
19,Analysis/Voice/2025/04/07/59a6b7bb-e7c9-4a96-ac17-3621c9607478_analysis_2025-04-07T21:31:40Z.json,59a6b7bb-e7c9-4a96-ac17-3621c9607478,2025-04-07 21:31:40,2025-04-07,21:31:40,2025-04-07 21:37:25+00:00,2025-04-07,21:37:25,2025-04-07 20:00:00
18,Analysis/Voice/2025/04/07/9d3343cc-613f-48ba-ac00-a016a9dacd63_analysis_2025-04-07T21:31:05Z.json,9d3343cc-613f-48ba-ac00-a016a9dacd63,2025-04-07 21:31:05,2025-04-07,21:31:05,2025-04-07 21:36:48+00:00,2025-04-07,21:36:48,2025-04-07 20:00:00
17,Analysis/Voice/2025/04/07/4ce55534-6681-4c1e-b23e-0b405b58ecf7_analysis_2025-04-07T21:31:01Z.json,4ce55534-6681-4c1e-b23e-0b405b58ecf7,2025-04-07 21:31:01,2025-04-07,21:31:01,2025-04-07 21:36:43+00:00,2025-04-07,21:36:43,2025-04-07 20:00:00
16,Analysis/Voice/2025/04/07/494f2349-ef60-44c5-9d1b-755c8b3a4ea0_analysis_2025-04-07T21:30:55Z.json,494f2349-ef60-44c5-9d1b-755c8b3a4ea0,2025-04-07 21:30:55,2025-04-07,21:30:55,2025-04-07 21:35:21+00:00,2025-04-07,21:35:21,2025-04-07 20:00:00
